Reference,Location,MAT,MAP,Ecosystems,N type,N amount,Duration,C(POC),Csd,T(POC),Tsd,Cn,Tn,C(MAOC),Csd,T(MAOC),Tsd,Cn,Tn,C(SOC),Csd,T(SOC),Tsd,Cn,Tn,C(TN),Csd,T(TN),Tsd,Cn,Tn,C(NH4),Csd,T(NH4),Tsd,Cn,Tn,C(NO3),Csd,T(NO3),Tsd,Cn,Tn,C(DOC),Csd,T(DOC),Tsd,Cn,Tn,C(MBC),Csd,T(MBC),Tsd,Cn,Tn,C(pH),Csd,T(pH),Tsd,Cn,Tn
"Ali Shah et al., 2021","34бу17'N, 108бу00'E",11,600,cropland,urea,352.5,23,12.48,0.440554892,14.93,0.493847842,3,3,7.99,0.30642208,9.08,0.171459252,3,3,16.56,0.72744,17.82,0.2598,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,,,,,
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,40,1,3.49,0.29,3.23,0.78,3,3,,,,,,,13.58,0.29,13.92,0.1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,145,3,3,3,5.66,0.2078352,5.66,0.17306582,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,60,1,3.49,0.29,3.82,0.51,3,3,,,,,,,13.58,0.29,14.13,0.09,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,144.33,1.85,3,3,5.66,0.2078352,5.65,0.17276005,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,72,1,3.49,0.29,4.41,0.49,3,3,,,,,,,13.58,0.29,14.42,0.17,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,180.67,2.4,3,3,5.66,0.2078352,5.65,0.17276005,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,80,1,3.49,0.29,4.78,0.19,3,3,,,,,,,13.58,0.29,14.52,0.04,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,159.67,1.67,3,3,5.66,0.2078352,5.64,0.17245428,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,100,1,3.49,0.29,4.9,0.61,3,3,,,,,,,13.58,0.29,14.54,0.09,3,3,,,,,,,,,,,,,,,,,,,,,,,,,146,3.05,165.33,1.67,3,3,5.66,0.2078352,5.63,0.17214851,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,40,2,3.57,0.18,3.69,0.1,3,3,,,,,,,13.23,0.17,14.06,0.45,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.49,6.86,16,3.21,3,3,5.67,0.2082024,5.65,0.17276005,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,60,2,3.57,0.18,4.26,0.09,3,3,,,,,,,13.23,0.17,14.31,0.07,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.49,6.86,172,2.64,3,3,5.67,0.2082024,5.64,0.17245428,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,72,2,3.57,0.18,4.69,0.26,3,3,,,,,,,13.23,0.17,14.52,0.16,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.49,6.86,200.33,5.64,3,3,5.67,0.2082024,5.63,0.17214851,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,80,2,3.57,0.18,5.28,0.11,3,3,,,,,,,13.23,0.17,14.6,0.12,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.49,6.86,173,7.03,3,3,5.67,0.2082024,5.61,0.17153697,3,3
"Banashree et al., 2017","26бу37'N, 92бу47'E",,,cropland,urea,100,2,3.57,0.18,5.39,0.1,3,3,,,,,,,13.23,0.17,14.69,0.16,3,3,,,,,,,,,,,,,,,,,,,,,,,,,140.49,6.86,198,1.73,3,3,5.67,0.2082024,5.6,0.1712312,3,3
"Borges et al., 2019","21бу15'22''S, 48бу15'18''W",23,1451,grassland,NH4NO3,60,2,1.6,0.293664,1.6,0.289488,3,3,17.3,2.1400792,16.7,2.8460307,3,3,21.2,2.259496,20.2,2.7352618,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,
"Borges et al., 2019","21бу15'22''S, 48бу15'18''W",23,1451,grassland,NH4NO3,120,2,1.6,0.293664,2,0.36186,3,3,17.3,2.1400792,17.3,2.9482833,3,3,21.2,2.259496,21,2.843589,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,
"Borges et al., 2019","21бу15'22''S, 48бу15'18''W",23,1451,grassland,NH4NO3,180,2,1.6,0.293664,1.6,0.289488,3,3,17.3,2.1400792,16.2,2.7608202,3,3,21.2,2.259496,19.7,2.6675573,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,
"Borges et al., 2019","21бу15'22''S, 48бу15'18''W",23,1451,grassland,NH4NO3,240,2,1.6,0.293664,1.8,0.325674,3,3,17.3,2.1400792,17.7,3.0164517,3,3,21.2,2.259496,21.2,2.8706708,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8,,,,,
"Bowden et al., 2019","41бу36'N, 80бу2'W",9.3,1120,forest,NH4NO3,100,17,6.05,1.97,6.8,1.16,3,3,,,,,,,35.46,2.45944,40.43,6.13128,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1.15,0.2598,0.98,0.24248,3,3,4,,,,,
"Bremer et al., 1994","Lethbridge, Alberta",,,cropland,NH4NO3,80,7,1.6,0.293664,1.77,0.3202461,4,4,14.25,1.762782,14.55,2.47962555,4,4,15.9,1.694622,16.4,2.2207076,4,4,1.58,0.32433924,1.61,0.37086672,4,4,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
"Bremer et al., 1994","Lethbridge, Alberta",,,cropland,NH4NO3,80,7,2.153333333,0.3952228,1.916666667,0.3467825,4,4,14.83333333,1.834942667,14.63333333,2.4938273,4,4,17,1.81186,16.6,2.2477894,4,4,1.63,0.33460314,1.6,0.3685632,4,4,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
"Bremer et al., 1994","Lethbridge, Alberta",,,cropland,NH4NO3,80,7,3.27,0.6001758,2.67,0.4830831,4,4,15.4,1.9050416,15.8,2.6926518,4,4,18.7,1.993046,18.5,2.5050665,4,4,1.81,0.37155318,1.76,0.40541952,4,4,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,50,5,6.819875776,1.565217391,6.335403727,1.788819876,3,3,,,,,,,19.7515528,3.726708075,21.11801242,3.105590062,3,3,,,,,,,,,,,,,,,,,,,,,,,,,435.9756098,94.51219512,469.5121951,118.902439,3,3,4.116245487,0.084476534,4.105415162,0.02599278,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,100,5,6.819875776,1.565217391,9.055900621,1.751552795,3,3,,,,,,,19.7515528,3.726708075,22.73291925,1.242236025,3,3,,,,,,,,,,,,,,,,,,,,,,,,,435.9756098,94.51219512,429.8780488,106.7073171,3,3,4.116245487,0.084476534,4.033935018,0.086642599,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,50,5,3.763975155,0.074534161,6.931677019,1.378881988,3,3,,,,,,,19.7515528,3.726708075,21.36645963,2.857142857,3,3,,,,,,,,,,,,,,,,,,,,,,,,,518.2926829,85.36585366,557.9268293,131.097561,3,3,4.118411552,0.077978339,3.990613718,0.032490975,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,100,5,3.763975155,0.074534161,8.49689441,0.857142857,3,3,,,,,,,19.7515528,3.726708075,22.73291925,1.242236025,3,3,,,,,,,,,,,,,,,,,,,,,,,,,518.2926829,85.36585366,484.7560976,94.51219512,3,3,4.118411552,0.077978339,3.964620939,0.05631769,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,50,5,6.819875776,1.453416149,5.776397516,1.118012422,3,3,,,,,,,25.46583851,3.354037267,23.85093168,2.857142857,3,3,,,,,,,,,,,,,,,,,,,,,,,,,740.8536585,97.56097561,707.3170732,118.902439,3,3,4.098916968,0.02599278,4.075090253,0.064981949,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,100,5,6.819875776,1.453416149,10.43478261,0.48447205,3,3,,,,,,,25.46583851,3.354037267,30.68322981,2.360248447,3,3,,,,,,,,,,,,,,,,,,,,,,,,,740.8536585,97.56097561,640.2439024,115.8536585,3,3,4.098916968,0.02599278,3.949458484,0.03032491,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E ",21.5,1956,forest,NH4NO3,150,5,6.819875776,1.453416149,9.652173913,1.229813665,3,3,,,,,,,25.46583851,3.354037267,30.93167702,2.360248447,3,3,,,,,,,,,,,,,,,,,,,,,,,,,740.8536585,97.56097561,573.1707317,73.17073171,3,3,4.098916968,0.02599278,3.877978339,0.073646209,3,3
"Chen et al., 2012","23бу10'N, 112бу10'E",21,1927,forest,NH4NO3,150,4,12.31766613,3.267423015,7.37439222,2.722852512,5,5,33.79254457,4.175040519,30.55105348,2.904376013,5,5,50,6.72,46,6.72,5,5,,,,,,,10.7,2.24,9,1.344,5,5,3.6,0.896,4.6,1.568,5,5,209,26.88,183,15.68,5,5,10052.6,2475.872,9789.47,2475.7152,5,5,3.69,0.0448,3.66,0.0672,5,5
"Chen et al., 2012","23бу20'N, 113бу30'E",21.5,1750,forest,NH4NO3,100,4,2.1,0.2,2.074,0.176,3,3,,,,,,,9,0.82,10.15,1.91,3,3,,,,,,,,,,,,,,,,,,,,,,,,,250.57,25.93,184.37,29.63,3,3,4.79,0.12,4.64,0.04,3,3
"Chen et al., 2018","29бу42'N, 103бу14'E ",16.2,1490,forest,NH4NO3,50,6,1.33,0.24248,1.35,0.15588,3,3,8.97,0.64084,9.33,0.27712,3,3,10.3,0.81404,10.67,0.41568,3,3,0.74,0.03464,0.75,0.05196,3,3,5.59,1.36828,6,0.31176,3,3,12.33,1.3856,13.05,0.15588,3,3,210,34.64,250,17.32,3,3,,,,,,,4.706666667,0.150106667,4.623333333,0.144333333,3,3
"Chen et al., 2018","29бу42'N, 103бу14'E ",16.2,1490,forest,NH4NO3,150,6,1.33,0.24248,1.14,0.13856,3,3,8.97,0.64084,8.58,0.79672,3,3,10.3,0.81404,9.72,0.65816,3,3,0.74,0.03464,0.75,0.01732,3,3,5.59,1.36828,5.41,1.31632,3,3,12.33,1.3856,13.08,0.84868,3,3,210,34.64,200,51.96,3,3,,,,,,,4.706666667,0.150106667,4.706666667,0.150106667,3,3
"Chen et al., 2018","29бу42'N, 103бу14'E ",16.2,1490,forest,NH4NO3,300,6,1.33,0.24248,1.52,0.05196,3,3,8.97,0.64084,9.23,1.22972,3,3,10.3,0.81404,10.75,1.28168,3,3,0.74,0.03464,0.8,0.06928,3,3,5.59,1.36828,5.96,1.45488,3,3,12.33,1.3856,14.75,0.62352,3,3,210,34.64,260,34.64,3,3,,,,,,,4.706666667,0.150106667,4.403333333,0.144333333,3,3
"Chen et al., 2020","27бу42'N, 117бу45'E ",17.5,1900,forest,NH4NO3,50,6,9.552238806,1.292537313,11.34328358,1.034029851,3,3,15.88935024,1.686615419,12.76175513,1.687101335,3,3,26.1,0.62352,24.7,0.1732,3,3,2.09,0.05196,1.92,0.12124,3,3,11.7,1.5588,10.3,1.732,3,3,2.36,0.12124,7.77,3.13492,3,3,1870,571.56,1680,311.76,3,3,440.0854915,57.49287571,326.4961012,10.7799142,3,3,5.29,0.62352,4.87,0.1732,3,3
"Chen et al., 2020","27бу42'N, 117бу45'E ",17.5,1900,forest,NH4NO3,100,6,9.552238806,1.292537313,11.26865672,1.163283582,3,3,15.88935024,1.686615419,11.88194367,1.297396476,3,3,26.1,0.62352,23.7,0.1732,3,3,2.09,0.05196,2.05,0.01732,3,3,11.7,1.5588,10,0.6928,3,3,2.36,0.12124,6.41,1.48952,3,3,1870,571.56,1330,155.88,3,3,440.0854915,57.49287571,239.877243,17.96652366,3,3,5.29,0.62352,4.88,0.1732,3,3
"Chen et al., 2020","27бу42'N, 117бу45'E ",17.5,1900,forest,NH4NO3,150,6,9.552238806,1.292537313,12.3880597,1.421791045,3,3,15.88935024,1.686615419,11.37638873,1.42762204,3,3,26.1,0.62352,24.5,0.0866,3,3,2.09,0.05196,2.05,0.06928,3,3,11.7,1.5588,9.8,3.1176,3,3,2.36,0.12124,8.2,2.58068,3,3,1870,571.56,1520,329.08,3,3,440.0854915,57.49287571,232.1031535,7.186609464,3,3,5.29,0.62352,4.85,0.0866,3,3
"Chen et al., 2020","39бу58'N, 115бу26'E ",5.4,500,forest,urea,50,6,53.11294766,6.107327824,58.62258953,5.725619835,3,3,11.47540984,2.498622951,17.7704918,1.249311475,3,3,67.2,8.8332,77.8,4.33,3,3,5.18,0.62352,6.5,0.46764,3,3,3.97,0.93528,3.84,0.27712,3,3,7.5,2.30356,12.5,3.15224,3,3,,,,,,,,,,,,,7.08,12.26256,6.8,0.41568,3,3
"Chen et al., 2020","39бу57'N, 115бу25'E ",5.7,505,forest,urea,50,6,33.27823691,5.343911846,26.44628099,5.725619835,3,3,8.590163934,2.38504918,8.918032787,2.612196721,3,3,42.1,6.062,37.8,12.8168,3,3,2.98,0.41568,3.32,0.9526,3,3,3.91,0.39836,4.52,2.35552,3,3,2.31,0.88332,9.21,6.54696,3,3,,,,,,,,,,,,,6.53,0.29444,6.13,0.20784,3,3
"Chen et al., 2021","35бу58'N, 101бу53'E ",1.2,620,grassland,NH4NO3,50,6,70.93596059,16.89655172,74.87684729,6.034482759,6,6,14.28571429,3.620689655,15.7635468,4.827586207,6,6,83.74384236,18.10344828,91.13300493,8.448275862,6,6,7.153846154,1.356923077,7.8,0.791538462,6,6,1.927710843,1.180722892,13.4939759,11.80722892,6,6,1.188118812,0.97029703,3.168316832,1.940594059,6,6,430.8806091,70.33639144,448.2514718,52.75229358,6,6,1733.333333,351.7948718,1712.820513,201.025641,6,6,6.153266332,0.11080402,6.100502513,0.092336683,6,6
"Chen et al., 2021","35бу58'N, 101бу53'E ",1.2,620,grassland,NH4NO3,100,6,70.93596059,16.89655172,66.00985222,6.034482759,6,6,14.28571429,3.620689655,12.31527094,3.620689655,6,6,83.74384236,18.10344828,77.83251232,7.24137931,6,6,7.153846154,1.356923077,6.830769231,0.339230769,6,6,1.927710843,1.180722892,25.30120482,22.43373494,6,6,1.188118812,0.97029703,8.316831683,5.579207921,6,6,430.8806091,70.33639144,398.6248934,111.3659531,6,6,1733.333333,351.7948718,1282.051282,326.6666667,6,6,6.153266332,0.11080402,5.972361809,0.092336683,6,6
"Chen et al., 2021","35бу58'N, 101бу53'E ",1.2,620,grassland,NH4NO3,150,6,70.93596059,16.89655172,61.57635468,12.06896552,6,6,14.28571429,3.620689655,13.30049261,3.620689655,6,6,83.74384236,18.10344828,79.80295567,12.06896552,6,6,7.153846154,1.356923077,7.015384615,1.130769231,6,6,1.927710843,1.180722892,45.30120482,15.93975904,6,6,1.188118812,0.97029703,17.32673267,6.54950495,6,6,430.8806091,70.33639144,423.1729389,64.47502548,6,6,1733.333333,351.7948718,1087.179487,251.2820513,6,6,6.153266332,0.11080402,5.829145729,0.16620603,6,6
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,NH4Cl,10,5,16.90140845,2.927323944,11.54929577,3.903098592,3,3,68.37884601,17.06957466,57.82182947,41.82529735,3,3,80.90589846,17.15660377,69.89316112,51.477543,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,NH4Cl,20,5,16.90140845,2.927323944,12.3943662,2.927323944,3,3,68.37884601,17.06957466,48.6004299,32.67510867,3,3,80.90589846,17.15660377,54.63514077,41.67376942,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,NH4Cl,40,5,16.90140845,2.927323944,10.42253521,1.951549296,3,3,68.37884601,17.06957466,26.54645331,6.535849057,3,3,80.90589846,17.15660377,32.30164871,7.352830189,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,KNO3,10,5,16.90140845,2.927323944,30.35460993,10.31829787,3,3,68.37884601,17.06957466,113.2818777,42.02767773,3,3,80.90589846,17.15660377,151.4746151,56.50750101,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,KNO3,20,5,16.90140845,2.927323944,23.54609929,13.26638298,3,3,68.37884601,17.06957466,83.87452042,39.40094787,3,3,80.90589846,17.15660377,108.120483,49.12140773,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,KNO3,40,5,16.90140845,2.927323944,30.63829787,7.861560284,3,3,68.37884601,17.06957466,93.89844279,15.76037915,3,3,80.90589846,17.15660377,115.8234951,24.58402837,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,NH4NO3,10,5,16.90140845,2.927323944,13.42857143,5.938285714,3,3,68.37884601,17.06957466,72,47.50628571,3,3,80.90589846,17.15660377,79.0960452,48.92655367,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,NH4NO3,20,5,16.90140845,2.927323944,12.57142857,3.958857143,3,3,68.37884601,17.06957466,42.28571429,17.81485714,3,3,80.90589846,17.15660377,48.02259887,19.57062147,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2017","50бу50'N, 121бу30'E ",-5.4,580,forest,NH4NO3,40,5,16.90140845,2.927323944,24,0.494857143,3,3,68.37884601,17.06957466,157.7142857,77.19771429,3,3,80.90589846,17.15660377,209.039548,63.60451977,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5-6.5,,,,,
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,10,2,29.11896104,13.93349879,32.66597403,11.15260431,12,12,56.36363636,7.242909091,51.45454545,5.983272727,12,12,78.86363636,18.87272727,79.31818182,17.3,12,12,5.204545455,1.100909091,5.340909091,1.336818182,12,12,18.2295082,1.639344262,24.24043716,3.49726776,12,12,16.14754098,1.639344262,17.24043716,2.732240437,12,12,672.1354167,176.6041667,642.96875,252.2916667,12,12,,,,,,,4.656747405,0.280152249,4.490657439,0.165217993,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,20,2,29.11896104,13.93349879,41.59688312,20.70642773,12,12,56.36363636,7.242909091,66.18181818,13.856,12,12,78.86363636,18.87272727,91.81818182,36.95909091,12,12,5.204545455,1.100909091,6.204545455,1.808636364,12,12,18.2295082,1.639344262,24.34972678,3.169398907,12,12,16.14754098,1.639344262,19.69945355,1.50273224,12,12,672.1354167,176.6041667,725,189.21875,12,12,,,,,,,4.656747405,0.280152249,4.521799308,0.402269896,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,40,2,29.11896104,13.93349879,41.13974026,12.27766758,12,12,56.36363636,7.242909091,54,3.464,12,12,78.86363636,18.87272727,91.59090909,39.31818182,12,12,5.204545455,1.100909091,6.75,2.044545455,12,12,18.2295082,1.639344262,24.13114754,2.076502732,12,12,16.14754098,1.639344262,22.02185792,3.005464481,12,12,672.1354167,176.6041667,695.8333333,245.984375,12,12,,,,,,,4.656747405,0.280152249,4.482352941,0.229868512,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,60,2,29.11896104,13.93349879,48.24415584,19.86034841,12,12,56.36363636,7.242909091,61.63636364,10.07709091,12,12,78.86363636,18.87272727,102.0454545,28.30909091,12,12,5.204545455,1.100909091,7.068181818,2.280454545,12,12,18.2295082,1.639344262,24.56830601,2.295081967,12,12,16.14754098,1.639344262,25.30054645,2.322404372,12,12,672.1354167,176.6041667,739.5833333,208.140625,12,12,,,,,,,4.656747405,0.280152249,4.517647059,0.330435986,12,12
