Reference,Location,MAT,MAP,Ecosystems,N type,N amount,Duration,C(POC),Csd,T(POC),Tsd,Cn,Tn,C(MAOC),Csd,T(MAOC),Tsd,Cn,Tn,C(SOC),Csd,T(SOC),Tsd,Cn,Tn,C(TN),Csd,T(TN),Tsd,Cn,Tn,C(NH4),Csd,T(NH4),Tsd,Cn,Tn,C(NO3),Csd,T(NO3),Tsd,Cn,Tn,C(DOC),Csd,T(DOC),Tsd,Cn,Tn,C(MBC),Csd,T(MBC),Tsd,Cn,Tn,C(pH),Csd,T(pH),Tsd,Cn,Tn
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,80,2,29.11896104,13.93349879,56.25350649,18.03254186,12,12,56.36363636,7.242909091,60.18181818,7.557818182,12,12,78.86363636,18.87272727,102.7272727,30.66818182,12,12,5.204545455,1.100909091,7.159090909,1.572727273,12,12,18.2295082,1.639344262,24.02185792,2.950819672,12,12,16.14754098,1.639344262,24.89071038,1.639344262,12,12,672.1354167,176.6041667,803.3854167,290.1354167,12,12,,,,,,,4.656747405,0.280152249,4.490657439,0.179584775,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,100,2,29.11896104,13.93349879,57.80467532,27.27126433,12,12,56.36363636,7.242909091,58.36363636,7.872727273,12,12,78.86363636,18.87272727,103.4090909,37.74545455,12,12,5.204545455,1.100909091,7.454545455,2.516363636,12,12,18.2295082,1.639344262,25.22404372,2.513661202,12,12,16.14754098,1.639344262,26.2568306,1.50273224,12,12,672.1354167,176.6041667,768.75,271.2135417,12,12,,,,,,,4.656747405,0.280152249,4.353633218,0.158034602,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,120,2,29.11896104,13.93349879,46.60467532,24.29453315,12,12,56.36363636,7.242909091,62.54545455,10.07709091,12,12,78.86363636,18.87272727,93.86363636,37.74545455,12,12,5.204545455,1.100909091,6.295454545,1.73,12,12,18.2295082,1.639344262,27.40983607,3.93442623,12,12,16.14754098,1.639344262,26.66666667,3.005464481,12,12,672.1354167,176.6041667,814.3229167,264.90625,12,12,,,,,,,4.656747405,0.280152249,4.484429066,0.28733564,12,12
"Cheng et al., 2018","41бу42'N, 127бу38'E ",3.6,700,forest,urea,140,2,29.11896104,13.93349879,40.14337662,8.485229841,12,12,56.36363636,7.242909091,60.36363636,5.983272727,12,12,78.86363636,18.87272727,89.77272727,18.87272727,12,12,5.204545455,1.100909091,6.159090909,1.258181818,12,12,18.2295082,1.639344262,24.78688525,2.950819672,12,12,16.14754098,1.639344262,32.81420765,1.912568306,12,12,672.1354167,176.6041667,715.8854167,239.6770833,12,12,,,,,,,4.656747405,0.280152249,4.384775087,0.208318339,12,12
"Cui et al., 2014","33бу45'N, 101бу47'W",15.5,550,grassland,urea,60,3,6.12,1.1232648,6.8,1.230324,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cusack et al., 2011","18.3буN, 65.8буW",23,3500,forest,NH4NO3,50,6,5.334,0.288201842,16.03,0.131490051,3,3,32.373,0.151528867,35.496,0.027779444,3,3,39,3.464,48,6.928,3,3,2.7,0.3464,3.4,0.5196,3,3,,,,,,,,,,,,,2.1,1.0392,2.9,2.9444,3,3,,,,,,,3.8,0.1732,3.9,0.3464,3,3
"Cusack et al., 2011","18.3буN, 65.8буW",23,3500,forest,NH4NO3,50,6,12.675,0.578720139,11.271,0.329441334,3,3,35.557,0.190330434,46.32,0.229356367,3,3,51,3.464,68,29.444,3,3,2.4,0.3464,3.1,1.0392,3,3,,,,,,,,,,,,,3.5,1.5588,5.3,2.9444,3,3,,,,,,,4,0.1732,3.9,0.1732,3,3
"Divito et al., 2011","37бу45'S, 58бу18'W",,,cropland,urea,116,7,10.22332506,2.580645161,10.62034739,3.374689826,4,4,23.02729529,2.977667494,23.72208437,2.977667494,4,4,33.25062035,3.940334142,34.34243176,4.500559424,4,4,2.656059758,0.256450961,2.929774704,0.153802541,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
"Divito et al., 2011","37бу45'S, 58бу18'W",,,cropland,urea,176,7,10.22332506,2.580645161,11.41439206,1.58808933,4,4,23.02729529,2.977667494,23.42431762,1.786600496,4,4,33.25062035,3.940334142,34.83870968,2.390390983,4,4,2.656059758,0.256450961,2.780394464,0.17952843,4,4,,,,,,,,,,,,,,,,,,,,,,,,,5.5,,,,,
"Dou et al., 2006","30бу32'N, 94бу26'W",20,978,cropland,NH4NO3,68,20,2.757971231,0.737872688,3.507357418,1.857599499,4,4,7.224008574,0.303154033,7.502679528,0.291564212,4,4,9.981979805,0.797720798,11.01003695,1.88034188,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,
"Dou et al., 2006","30бу32'N, 94бу26'W",20,978,cropland,NH4NO3,68,20,4.252648445,0.615004169,6.026924668,0.789829029,4,4,9.153269025,0.412334063,9.603429796,0.455740442,4,4,13.40591747,0.740438726,15.63035446,0.911882255,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,
"Dou et al., 2006","30бу32'N, 94бу26'W",20,978,cropland,NH4NO3,68,20,3.08693034,0.556604455,3.937369004,0.296408386,4,4,6.79528403,0.288394942,6.688102894,0.346312849,4,4,9.88221437,0.626881298,10.6254719,0.455840456,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,
"Dou et al., 2006","30бу32'N, 94бу26'W",20,978,cropland,NH4NO3,68,20,6.837623994,0.968891304,8.454069026,0.449520312,4,4,9.260450161,0.702179608,10.09646302,0.515361856,4,4,16.09807415,1.196581197,18.55053205,0.683861355,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,
"Dou et al., 2006","30бу32'N, 94бу26'W",20,978,cropland,NH4NO3,68,20,3.307508348,0.727524716,3.765416615,0.823869414,4,4,6.816720257,0.327209808,6.988210075,0.227870221,4,4,10.1242286,0.797720798,10.75362669,0.854801526,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,
"Dou et al., 2006","30бу32'N, 94бу26'W",20,978,cropland,NH4NO3,68,20,7.020560256,0.183602252,8.391597033,1.755656289,4,4,9.946409432,0.338936512,9.603429796,0.819077092,4,4,16.96696969,0.284900285,17.99502683,1.937321937,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.2,,,,,
"Fabrizzi et al., 2002","37бу45'S, 58бу18'W",,,cropland,urea,120,7,1.806,0.155563492,2.0455,0.181726443,2,2,21.955,0.148492424,21.66,0.070710678,2,2,23.8,0,23.7,0.282842712,2,2,2.105,0.007071068,2.14,0.028284271,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabrizzi et al., 2002","37бу45'S, 58бу18'W",,,cropland,urea,120,7,2.4385,1.322996788,2.686,1.673014644,2,2,22.68,0.90509668,24.265,1.110157646,2,2,25.1,2.2627417,26.95,2.757716447,2,2,2.245,0.148492424,2.31,0.240416306,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabrizzi et al., 2002","37бу34'S, 59бу04'W",,,cropland,urea,150,4,3.0395,1.580383656,3.0775,1.501187696,2,2,27.885,0.06363961,28.06,1.103086579,2,2,31.85,0.212132034,31.15,2.61629509,2,2,2.96,0.084852814,2.97,0.169705627,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fabrizzi et al., 2002","37бу34'S, 59бу04'W",,,cropland,urea,150,4,2.5195,1.570484161,2.8575,1.784030409,2,2,27.72,1.923330445,28.025,2.623366158,2,2,30.25,3.464823228,30.9,4.384062043,2,2,2.895,0.233345238,2.885,0.261629509,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,NH4Cl,10,5,32.67,4.814991151,36.39,8.845841347,3,3,15.55,1.9052,19.76,1.57612,3,3,48,5.5424,58.06,7.91524,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,NH4Cl,20,5,32.67,4.814991151,21.85,3.479078881,3,3,15.55,1.9052,21.77,7.29172,3,3,48,5.5424,35.66,9.49136,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,NH4Cl,40,5,32.67,4.814991151,28.5,9.590792633,3,3,15.55,1.9052,8.78,5.07476,3,3,48,5.5424,40.69,10.28808,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,(NH4)2SO4,10,5,32.67,4.814991151,35.32,6.998758903,3,3,15.55,1.9052,20.8,1.59344,3,3,48,5.5424,54.96,5.55972,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,(NH4)2SO4,20,5,32.67,4.814991151,21.09,2.537128759,3,3,15.55,1.9052,18.61,5.55972,3,3,48,5.5424,36.18,5.55972,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,(NH4)2SO4,40,5,32.67,4.814991151,33.69,3.239025235,3,3,15.55,1.9052,11.31,3.16956,3,3,48,5.5424,53.59,9.50868,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,KNO3,10,5,32.67,4.814991151,36.16,6.50466891,3,3,15.55,1.9052,18.43,3.16956,3,3,48,5.5424,53.59,8.72928,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,KNO3,20,5,32.67,4.814991151,31.8,1.988483848,3,3,15.55,1.9052,12.96,3.79308,3,3,48,5.5424,44.43,2.37284,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2014","37бу37'N, 101бу19'E",-1.7,648,grassland,KNO3,40,5,32.67,4.814991151,23.87,2.811874129,3,3,15.55,1.9052,21.9,3.48132,3,3,48,5.5424,42.14,5.5424,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fang et al., 2019","26бу42'N, 115бу04'E ",17.9,1600,forest,urea+NH4NO3,50,5,7.915392457,0.966689696,9.742099898,1.789713062,5,5,12.51533742,2.061349693,13.98773006,1.855214724,5,5,20.40452428,3.191341761,23.73087159,4.106666667,5,5,,,,,,,,,,,,,,,,,,,,,,,,,44.24242424,10.86060606,40.60606061,6.787878788,5,5,,,,,,
"Fang et al., 2019","26бу42'N, 115бу04'E ",17.9,1600,forest,urea+NH4NO3,100,5,7.915392457,0.966689696,9.298674822,1.104903215,5,5,12.51533742,2.061349693,13.1595092,0.618404908,5,5,20.40452428,3.191341761,22.37203371,2.281481481,5,5,,,,,,,,,,,,,,,,,,,,,,,,,44.24242424,10.86060606,40,9.503030303,5,5,,,,,,
"Ferreira et al., 2018","30бу26'N, 54бу31'W",18,1351,grassland,urea,24,3,2.371191136,1.51800554,4.232686981,1.772853186,4,4,19.19689119,2.370466321,18.65284974,2.797927461,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,,,
"Ferreira et al., 2018","30бу26'N, 54бу31'W",18,1351,grassland,urea,36,3,2.371191136,1.51800554,7.091412742,0.886426593,4,4,19.19689119,2.370466321,21.76165803,3.419689119,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,,,
"Ferreira et al., 2018","30бу26'N, 54бу31'W",18,1351,grassland,urea,48,3,2.371191136,1.51800554,4.853185596,2.393351801,4,4,19.19689119,2.370466321,26.89119171,1.865284974,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,,,
"Ferreira et al., 2018","30бу26'N, 54бу31'W",18,1351,grassland,urea,108,3,2.371191136,1.51800554,4.299168975,1.019390582,4,4,19.19689119,2.370466321,20.3626943,1.398963731,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,,,
"Frasier et al., 2016","36бу36'37'S, 63бу58'48''W",,700,cropland,urea,40,<1,5.430555556,0.944444444,4,0.805555556,4,4,14.09722222,0.944444444,13.66666667,0.805555556,4,4,19.54166667,1.5,17.66666667,1.277777778,4,4,1.666666667,0.111111111,1.569444444,0.111111111,4,4,,,,,,,,,,,,,125,19.44444444,125,19.44444444,4,4,263.8888889,27.77777778,222.2222222,27.77777778,4,4,5.8,,,,,
"Frasier et al., 2016","36бу36'37'S, 63бу58'48''W",,700,cropland,urea,40,2,4.666666667,0.861111111,4.875,0.75,4,4,14.69444444,0.861111111,16.375,0.75,4,4,19.36111111,1.361111111,21.25,1.222222222,4,4,1.722222222,0.111111111,1.805555556,0.111111111,4,4,,,,,,,,,,,,,41.66666667,11.11111111,27.77777778,11.11111111,4,4,263.8888889,27.77777778,277.7777778,27.77777778,4,4,5.8,,,,,
"Geng et al., 2019","26бу44'48N, 115бу04'13E ",17.9,1475,forest,NH4Cl,40,4,2.883950617,0.357187375,3.259259259,1.779041975,3,3,4.958024691,0.650034568,5.214814815,0.47897284,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,,,
"Geng et al., 2019","26бу44'48N, 115бу04'13E ",17.9,1475,forest,NaNO3,40,4,2.883950617,0.357187375,2.70617284,0.876263599,3,3,4.958024691,0.650034568,5.096296296,1.471130864,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,,,
"Geng et al., 2019","26бу44'48N, 115бу04'13E ",17.9,1475,forest,NH4Cl,120,4,2.883950617,0.357187375,4.879012346,1.536892292,3,3,4.958024691,0.650034568,4.879012346,0.718459259,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,,,
"Geng et al., 2019","26бу44'48N, 115бу04'13E ",17.9,1475,forest,NaNO3,120,4,2.883950617,0.357187375,5.195061728,1.560323031,3,3,4.958024691,0.650034568,5.748148148,1.813254321,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.26,,,,,
"Geng et al., 2020","26бу44'39''N, 115бу03'33''E ",17.9,1475,forest,NH4Cl,40,4,2.862081663,0.373556796,3.254541363,1.733984632,3,3,4.95322859,0.572404686,5.179002815,0.515305785,3,3,9.66,1.57612,10.96,2.58068,3,3,0.94,0.24248,1.03,0.19052,3,3,7.65,1.732,7.74,1.33364,3,3,2.13,0.6928,3.99,1.09116,3,3,,,,,,,,,,,,,5.13,0.55424,4.26,0.0866,3,3
"Geng et al., 2020","26бу44'39''N, 115бу03'33''E ",17.9,1475,forest,NaNO3,40,4,2.862081663,0.373556796,2.667437198,0.894096918,3,3,4.95322859,0.572404686,5.107438017,1.37414876,3,3,9.66,1.57612,9.43,2.44212,3,3,0.94,0.24248,0.86,0.29444,3,3,7.65,1.732,7.08,1.07384,3,3,2.13,0.6928,3.53,1.00456,3,3,,,,,,,,,,,,,5.13,0.55424,4.53,0.06928,3,3
"Geng et al., 2020","26бу44'39''N, 115бу03'33''E ",17.9,1475,forest,NH4Cl,120,4,2.862081663,0.373556796,4.881965469,1.568938545,3,3,4.95322859,0.572404686,4.804377441,0.80142948,3,3,9.66,1.57612,11.15,1.93984,3,3,0.94,0.24248,0.94,0.15588,3,3,7.65,1.732,7.22,2.28624,3,3,2.13,0.6928,6.03,1.54148,3,3,,,,,,,,,,,,,5.13,0.55424,4.1,0.0866,3,3
"Geng et al., 2020","26бу44'39''N, 115бу03'33''E ",17.9,1475,forest,NaNO3,120,4,2.862081663,0.373556796,5.194644464,1.551711378,3,3,4.95322859,0.572404686,5.69139951,1.774942149,3,3,9.66,1.57612,11.76,2.75388,3,3,0.94,0.24248,0.97,0.19052,3,3,7.65,1.732,7.22,1.92252,3,3,2.13,0.6928,5.98,1.93984,3,3,,,,,,,,,,,,,5.13,0.55424,5.17,0.3464,3,3
"Geng et al., 2021","50бу49'N, 121бу31'E",-5.4,580,forest,NH4Cl,10,6,17.03,3.04832,11.66,3.84504,3,3,68.12,15.60532,58.68,41.3948,3,3,80.3,19.51964,70.42,50.85152,3,3,5.04,1.66272,4.71,3.75844,3,3,9.91,2.45944,7.55,3.79308,3,3,1.26,0.41568,2.65,2.00912,3,3,231.57,31.21064,184.29,32.44036,3,3,23.82,4.72836,18.06,4.45124,3,3,5.65,0.10392,5.8,0.1732,3,3
"Geng et al., 2021","50бу49'N, 121бу31'E",-5.4,580,forest,NH4Cl,20,6,17.03,3.04832,12.39,3.08296,3,3,68.12,15.60532,49.07,33.8606,3,3,80.3,19.51964,54.35,39.3164,3,3,5.04,1.66272,3.19,2.165,3,3,9.91,2.45944,9.17,6.99728,3,3,1.26,0.41568,1.16,0.57156,3,3,231.57,31.21064,156.41,55.18152,3,3,23.82,4.72836,19.67,3.42936,3,3,5.65,0.10392,5.57,0.13856,3,3
"Geng et al., 2021","50бу49'N, 121бу31'E",-5.4,580,forest,NH4Cl,40,6,17.03,3.04832,10.64,1.76664,3,3,68.12,15.60532,27.43,6.46036,3,3,80.3,19.51964,30.82,8.20968,3,3,5.04,1.66272,1.9,0.55424,3,3,9.91,2.45944,9.3,0.64084,3,3,1.26,0.41568,1.24,0.2598,3,3,231.57,31.21064,171.68,9.04104,3,3,23.82,4.72836,24.19,8.43484,3,3,5.65,0.10392,5.63,0.0866,3,3
"Geng et al., 2021","50бу49'N, 121бу31'E",-5.4,580,forest,KNO3,10,6,17.03,3.04832,30.43,12.52236,3,3,68.12,15.60532,112.98,42.38204,3,3,80.3,19.51964,150.51,55.26812,3,3,5.04,1.66272,7.85,4.81496,3,3,9.91,2.45944,9.07,1.80128,3,3,1.26,0.41568,7.78,9.83776,3,3,231.57,31.21064,245.49,42.81504,3,3,23.82,4.72836,19.15,4.05288,3,3,5.65,0.10392,5.62,0.1732,3,3
"Geng et al., 2021","50бу49'N, 121бу31'E",-5.4,580,forest,KNO3,20,6,17.03,3.04832,23.41,13.23248,3,3,68.12,15.60532,83.6,39.33372,3,3,80.3,19.51964,105.69,51.16328,3,3,5.04,1.66272,5.3,2.47676,3,3,9.91,2.45944,11.92,5.26528,3,3,1.26,0.41568,1.66,0.91796,3,3,231.57,31.21064,239.56,24.97544,3,3,23.82,4.72836,33.47,10.37468,3,3,5.65,0.10392,5.61,0.1732,3,3
"Geng et al., 2021","50бу49'N, 121бу31'E",-5.4,580,forest,KNO3,40,6,17.03,3.04832,30.73,8.1404,3,3,68.12,15.60532,93.41,15.79584,3,3,80.3,19.51964,113.65,22.87972,3,3,5.04,1.66272,5.21,0.88332,3,3,9.91,2.45944,23.1,12.33184,3,3,1.26,0.41568,16.78,8.15772,3,3,231.57,31.21064,307.54,47.09308,3,3,23.82,4.72836,20.03,2.70192,3,3,5.65,0.10392,5.69,0.1732,3,3
"Hagedorn et al., 2003",╚Ё╩┐,,,forest,NH4NO3,70,4,6.728971963,0.939871942,7.808930426,0.599053171,4,4,19.64693666,1.49993521,20.47767394,1.186530165,4,4,64.49758622,3.394124821,69.79082075,12.5574977,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1,,,,,
"Hagedorn et al., 2003",╚Ё╩┐,,,forest,NH4NO3,70,4,9.055036345,1.108341771,8.639667705,1.638470025,4,4,13.49948079,0.544750864,15.24402908,1.421993169,4,4,52.36553404,6.447983123,52.73816409,6.447983123,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.2,,,,,
"Huang et al., 2011","38бу14'S, 175бу58'E",11.5,1764,forest,urea,250,4,12.9,2,15.2,4.8,4,4,43.6,5.2,45.7,4.8,4,4,56.4,9.4,60.9,4.2,4,4,2.9,0.4,3.7,0.4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huang et al., 2011","38бу14'S, 175бу58'E",11.5,1764,forest,urea,250,9,16.1,3,21.2,3.6,4,4,38.5,4.6,45.5,3.8,4,4,54.5,5.4,66.8,7,4,4,2.8,0.4,3.8,0.6,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Huang et al., 2011","38бу14'S, 175бу58'E",11.5,1764,forest,urea,250,14,21.6,5.6,25.4,6.4,4,4,43.8,5.8,48.3,3.2,4,4,65,6.8,73.8,9.4,4,4,3,0.4,3.8,0.2,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jantalia and Ardell, 2011","40бу39'N, 104бу59'W",10.6,383,cropland,urea+NH4NO3,67,9,12.6,2.312604,12.5,2.261625,3,3,,,,,,,42.2,4.497676,46.9,6.3506821,3,3,5.4,1.1085012,6,1.382112,3,3,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,
"Jantalia and Ardell, 2011","40бу39'N, 104бу59'W",10.6,383,cropland,urea+NH4NO3,134,9,12.6,2.312604,13.9,2.514927,3,3,,,,,,,42.2,4.497676,45.4,6.1475686,3,3,5.4,1.1085012,5.9,1.3590768,3,3,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,
"Jantalia and Ardell, 2011","40бу39'N, 104бу59'W",10.6,383,cropland,urea+NH4NO3,224,9,12.6,2.312604,14.7,2.659671,3,3,,,,,,,42.2,4.497676,46.7,6.3236003,3,3,5.4,1.1085012,5.9,1.3590768,3,3,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,
