Reference,Location,MAT,MAP,Ecosystems,N type,N amount,Duration,C(POC),Csd,T(POC),Tsd,Cn,Tn,C(MAOC),Csd,T(MAOC),Tsd,Cn,Tn,C(SOC),Csd,T(SOC),Tsd,Cn,Tn,C(TN),Csd,T(TN),Tsd,Cn,Tn,C(NH4),Csd,T(NH4),Tsd,Cn,Tn,C(NO3),Csd,T(NO3),Tsd,Cn,Tn,C(DOC),Csd,T(DOC),Tsd,Cn,Tn,C(MBC),Csd,T(MBC),Tsd,Cn,Tn,C(pH),Csd,T(pH),Tsd,Cn,Tn
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.9,0.165186,1.5,0.271395,3,3,,,,,,,44.7,4.764126,44,5.957996,3,3,3.88,0.79647864,3.84,0.88455168,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,1.1,0.201894,1.2,0.217116,3,3,,,,,,,35.8,3.815564,34.3,4.6445287,3,3,3.3,0.6774174,3.2,0.7371264,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,10.6,1.945524,10.9,1.972137,3,3,,,,,,,35.8,3.815564,37,5.010133,3,3,2.78,0.57067284,2.85,0.6565032,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.8,0.146832,0.9,0.162837,3,3,,,,,,,33.9,3.613062,33.7,4.5632833,3,3,3.27,0.67125906,3.27,0.75325104,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,1.4,0.256956,1.6,0.289488,3,3,,,,,,,26.3,2.803054,27.3,3.6966657,3,3,2.85,0.5850423,2.9,0.6680208,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,29.4,3.133452,25.3,3.4258477,3,3,3.07,0.63020346,2.59,0.59661168,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.9,0.165186,0.9,0.162837,3,3,,,,,,,29.8,3.176084,30.9,4.1841381,3,3,2.82,0.57888396,2.96,0.68184192,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,1.2,0.220248,1.5,0.271395,3,3,,,,,,,22,2.34476,22.8,3.0873252,3,3,2.11,0.43313658,2.2,0.5067744,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,4,0.73416,3.6,0.651348,3,3,,,,,,,22.2,2.366076,22.7,3.0737843,3,3,1.95,0.4002921,2.05,0.4722216,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.4,0.073416,0.4,0.072372,3,3,,,,,,,21,2.23818,21.7,2.9383753,3,3,2.18,0.44750604,2.26,0.52059552,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.7,0.128478,0.8,0.144744,3,3,,,,,,,19.1,2.035678,19.5,2.6404755,3,3,2.12,0.43518936,2.18,0.50216736,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.8,0.146832,0.8,0.144744,3,3,,,,,,,17.7,1.886466,18.5,2.5050665,3,3,1.95,0.4002921,2.01,0.46300752,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.8,0.146832,0.8,0.144744,3,3,,,,,,,16,1.70528,16.7,2.2613303,3,3,1.65,0.3387087,1.79,0.41233008,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.7,0.128478,0.9,0.162837,3,3,,,,,,,15.5,1.65199,17.3,2.3425757,3,3,1.64,0.33665592,1.78,0.41002656,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.8,0.146832,1.1,0.199023,3,3,,,,,,,15.6,1.662648,17.2,2.3290348,3,3,1.58,0.32433924,1.73,0.39850896,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.6,0.110124,0.7,0.126651,3,3,,,,,,,16.6,1.769228,16.9,2.2884121,3,3,1.75,0.3592365,1.79,0.41233008,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.7,0.128478,0.8,0.144744,3,3,,,,,,,15.7,1.673306,16.5,2.2342485,3,3,1.64,0.33665592,1.73,0.39850896,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.6,0.110124,0.6,0.108558,3,3,,,,,,,15.4,1.641332,16.2,2.1936258,3,3,1.58,0.32433924,1.68,0.38699136,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.7,0.128478,0.7,0.126651,3,3,,,,,,,11.2,1.193696,11.7,1.5842853,3,3,1.19,0.24428082,1.22,0.28102944,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.6,0.110124,0.7,0.126651,3,3,,,,,,,14.7,1.566726,15.2,2.0582168,3,3,1.48,0.30381144,1.53,0.35243856,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,13.1,1.396198,13.8,1.8686442,3,3,1.35,0.2771253,1.42,0.32709984,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.6,0.108558,3,3,,,,,,,12.9,1.374882,13.7,1.8551033,3,3,1.37,0.28123086,1.44,0.33170688,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.8,0.144744,3,3,,,,,,,13.7,1.460146,14.9,2.0175941,3,3,1.46,0.29970588,1.58,0.36395616,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,11.9,1.268302,13.9,1.8821851,3,3,1.4,0.2873892,1.47,0.33861744,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.8,0.144744,3,3,,,,,,,13.8,1.470804,14.6,1.9769714,3,3,1.47,0.30175866,1.52,0.35013504,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.4,0.073416,0.5,0.090465,3,3,,,,,,,11.6,1.236328,12.4,1.6790716,3,3,1.25,0.2565975,1.33,0.30636816,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,11.8,1.257644,12.9,1.7467761,3,3,1.25,0.2565975,1.35,0.3109752,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,12,1.27896,13.2,1.7873988,3,3,1.23,0.25249194,1.33,0.30636816,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.8,0.146832,1,0.18093,3,3,,,,,,,8.6,0.916588,9.4,1.2728446,3,3,0.87,0.17859186,0.93,0.21422736,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,12.1,1.289618,13.3,1.8009397,3,3,1.32,0.27096696,1.42,0.32709984,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,9.3,0.991194,10,1.35409,3,3,1.07,0.21964746,1.14,0.26260128,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.9,0.162837,3,3,,,,,,,10,1.0658,10.5,1.4217945,3,3,1.11,0.22785858,1.13,0.26029776,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.3,0.055062,0.4,0.072372,3,3,,,,,,,9.4,1.001852,10,1.35409,3,3,0.99,0.20322522,1.08,0.24878016,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yanni et al., 2016","49бу42'N, 112бу50'W",5.9,380,cropland,NH4NO3,60,21,0.5,0.09177,0.7,0.126651,3,3,,,,,,,8.5,0.90593,8.4,1.1374356,3,3,0.88,0.18064464,0.88,0.20270976,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ye et al., 2018","43бу38'N, 116бу42'E ",0.3,346.1,grassland,NH4NO3,17.5,15,1.168224299,1.682242991,2.803738318,0.934579439,4,4,15.98930481,0.855614973,15.18716578,1.390374332,4,4,16.2,1.9,17.2,0.78,4,4,1.75,0.18,0.83,0.06,4,4,0.63,0.62,0.55,0.64,4,4,25.74,3.46,28.77,3.12,4,4,58.25,12.8,63.55,7.34,4,4,580.9983897,92.75362319,476.6505636,164.8953301,4,4,6.84,0.12,6.79,0.08,4,4
"Ye et al., 2018","43бу38'N, 116бу42'E ",0.3,346.1,grassland,NH4NO3,105,15,1.168224299,1.682242991,2.990654206,0.607476636,4,4,15.98930481,0.855614973,14.06417112,1.176470588,4,4,16.2,1.9,18.68,0.94,4,4,1.75,0.18,1.93,0.1,4,4,0.63,0.62,2.17,1.14,4,4,25.74,3.46,88.74,9.6,4,4,58.25,12.8,61.32,15.02,4,4,580.9983897,92.75362319,255.0724638,180.3542673,4,4,6.84,0.12,5.89,0.42,4,4
"Ye et al., 2018","43бу38'N, 116бу42'E ",0.3,346.1,grassland,NH4NO3,280,15,1.168224299,1.682242991,5.794392523,3.364485981,4,4,15.98930481,0.855614973,13.5828877,1.497326203,4,4,16.2,1.9,19.28,2.12,4,4,1.75,0.18,2.05,0.18,4,4,0.63,0.62,48.13,31.06,4,4,25.74,3.46,163.1,24.46,4,4,58.25,12.8,63.32,5.78,4,4,580.9983897,92.75362319,82.44766506,20.61191626,4,4,6.84,0.12,4.72,0.12,4,4
"Yu et al., 2018(In Chinese)","27бу15'N, 110бу13'E",16.5,1300,forest,urea,200,5,2.58,0.57156,2.03,0.53692,3,3,,,,,,,16.29,2.5114,15.09,2.44212,3,3,1.29,0.13856,1.25,0.0866,3,3,5.92,0.53692,4.41,0.65816,3,3,1.86,0.15588,1.62,0.39836,3,3,192.14,23.13952,144.72,19.43304,3,3,255.8,20.28172,167.2,38.69288,3,3,4.44,0.051969,4.24,0.017323,3,3
"Yu et al., 2019","23бу10'N, 112бу10'E ",21.4,1700,forest,NH4NO3,50,14,5.8,0.866,5.7,0.6928,3,3,,,,,,,35.26563049,1.750749696,35.98456806,4.00171359,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Yu et al., 2019","23бу10'N, 112бу10'E ",21.4,1700,forest,NH4NO3,100,14,5.8,0.866,7.5,0.5196,3,3,,,,,,,35.26563049,1.750749696,42.62405476,2.000523319,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Yu et al., 2019","23бу10'N, 112бу10'E ",21.4,1700,forest,NH4NO3,150,14,5.8,0.866,4.8,0.866,3,3,,,,,,,35.26563049,1.750749696,33.09052664,1.750749696,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Yu et al., 2019","23бу10'N, 112бу10'E ",21.4,1700,forest,NH4NO3,50,14,3.4,0.6928,2.3,0.6928,3,3,,,,,,,26.22962104,1.250868973,23.19310136,5.002141987,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Yu et al., 2019","23бу10'N, 112бу10'E ",21.4,1700,forest,NH4NO3,100,14,3.4,0.6928,2.9,1.0392,3,3,,,,,,,26.22962104,1.250868973,23.04465442,3.75160649,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,
"Yuan et al., 2020","37бу36'N, 101бу19'E ",-1.7,580,grassland,urea,100,9,36.25,1.020833333,39.375,7.145833333,6,6,30.76388889,1.871527778,30.41666667,1.361111111,6,6,65.6097561,3.585365854,69.75609756,7.768292683,6,6,6.46,0.3185,6.74,0.6125,6,6,,,,,,,,,,,,,230,49,280,73.5,6,6,1370,98,1440,122.5,6,6,7.08,0.4165,6.85,0.5635,6,6
"Zak et al., 2017","42бу19'N, 83бу2'W",10.2,753,forest,NaCO3,30,17,9.679079128,0.979905062,13.46417416,1.140309591,3,3,3.754587511,0.869280751,3.206932037,0.434738956,3,3,15.71888461,1.043176333,19.18717956,2.434932474,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2017(In Chinese)","26бу42'N, 115бу4'E",17.9,1600,forest,NH4NO3,50,3,10.6,0.8,11.4,2.6,4,4,12.6,3.4,10.2,3,4,4,23.2,4,21.5,4,4,4,,,,,,,,,,,,,,,,,,,91.7,23.6,127.8,25.6,4,4,,,,,,,,,,,,
"Zhang et al., 2017(In Chinese)","26бу42'N, 115бу4'E",17.9,1600,forest,NH4NO3,100,3,10.6,0.8,10,2.8,4,4,12.6,3.4,11.3,1.8,4,4,23.2,4,21.2,3.6,4,4,,,,,,,,,,,,,,,,,,,91.7,23.6,91.9,12.8,4,4,,,,,,,,,,,,
"Zhang et al., 2019(In Chinese)",,6.7,390.9,cropland,urea,52.5,4,1.164826217,0.033081488,1.32568996,0.051530612,3,3,6.800059811,0.132011791,6.95958474,0.132011791,3,3,8.336633663,0.099009901,8.633663366,0.158415842,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2019(In Chinese)",,6.7,390.9,cropland,urea,105,4,1.164826217,0.033081488,1.989103104,0.037273056,3,3,6.800059811,0.132011791,7.343572436,0.052804717,3,3,8.336633663,0.099009901,9.465346535,0.059405941,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2019(In Chinese)",,6.7,390.9,cropland,urea,157.5,4,1.164826217,0.033081488,1.736907901,0.040719979,3,3,6.800059811,0.132011791,7.29192122,0.066005896,3,3,8.336633663,0.099009901,9.188118812,0.03960396,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhang et al., 2021(In Chinese)","37бу18'36''N, 106бу55'48''E",7.6,300,grassland,urea,100,<1,1.67,0.04,2.52,0.02,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,,,
"Zhong et al., 2015","34бу17'56''N, 108бу04'7''E ",13,632,cropland,urea,90,10,0.65,0.10392,1.350615963,0.115915866,3,3,7.69,0.6928,7.188505931,0.233240055,3,3,8.33,0.6928,8.511134563,0.137410494,3,3,0.8,0.03464,0.872,0.0249408,3,3,9.99,1.16044,10.8891,0.707836909,3,3,4.78,1.1258,5.618185162,0.791856383,3,3,52.56,4.46856,63.072,2.4275712,3,3,,,,,,,8.225581395,0.028195349,8.169767442,0.028195349,3,3
"Zhong et al., 2015","34бу17'56''N, 108бу04'7''E ",13,632,cropland,urea,180,10,0.65,0.10392,1.606350904,0.557096907,3,3,7.69,0.6928,6.895246455,0.23412187,3,3,8.33,0.6928,8.432736771,0.549533607,3,3,0.8,0.03464,0.8416,0.0332544,3,3,9.99,1.16044,12.41484545,0.896593418,3,3,4.78,1.1258,9.240551809,0.788472381,3,3,52.56,4.46856,54.312,7.2827136,3,3,,,,,,,8.225581395,0.028195349,8.127906977,0.036251163,3,3
"Zhong et al., 2015","34бу17'56''N, 108бу04'7''E ",13,632,cropland,urea,270,10,0.65,0.10392,2.331158011,1.114193814,3,3,7.69,0.6928,5.306503062,3.131765801,3,3,8.33,0.6928,7.580622226,2.164215276,3,3,0.8,0.03464,0.9536,0.083136,3,3,9.99,1.16044,12.3876,1.0381608,3,3,4.78,1.1258,8.765775598,1.576944762,3,3,52.56,4.46856,57.4656,3.3379104,3,3,,,,,,,8.225581395,0.028195349,8.097674419,0.032223256,3,3
"Zhong et al., 2015","34бу17'56''N, 108бу04'7''E ",13,632,cropland,urea,360,10,0.65,0.10392,1.91662128,1.160764546,3,3,7.69,0.6928,7.198433986,0.888428564,3,3,8.33,0.6928,9.068991475,0.274929355,3,3,0.8,0.03464,0.8816,0.0526528,3,3,9.99,1.16044,12.55107273,0.802215164,3,3,4.78,1.1258,9.656713673,1.576944762,3,3,52.56,4.46856,60.2688,0.6068928,3,3,,,,,,,8.225581395,0.028195349,8.197674419,0.016111628,3,3
"Zhou et al., 2019(In Chinese)","42бу24'N, 128бу24'E",3.6,695,forest,NH4NO3,50,6,171.2238806,17.80289692,175.4920314,14.01305161,3,3,449.8118169,47.69985165,460.1134168,29.31287691,3,3,621.0884354,70.11218734,626.5306122,30.70191324,3,3,47.83871882,4.799659865,48.36120559,2.544099884,3,3,1730.018056,91.17731266,1787.055286,69.07203399,3,3,123.1021165,17.4179645,110.7587748,20.61905124,3,3,4843.537415,463.8820944,4016.326531,808.3181912,3,3,11863.94558,655.164407,12340.13605,637.9880379,3,3,,,,,,
"Zhou et al., 2019(In Chinese)","42бу49'N, 128бу49'E",2.7,871.6,forest,NH4NO3,50,6,273.3174804,34.77788052,216.5641285,34.65533928,3,3,392.6193569,23.53548136,416.144147,35.09530568,3,3,651.7006803,79.37117301,750.3401361,104.1119199,3,3,44.54818594,4.645025277,49.05102041,6.32058222,3,3,721.6450932,200.2184294,894.3525418,185.3421064,3,3,1889.219138,380.7090062,1730.63938,258.857755,3,3,4593.197279,317.9740445,5126.530612,163.8038147,3,3,11959.18367,1380.090634,11387.7551,1705.955225,3,3,,,,,,
"Zhu et al., 2020","32бу59'N, 103бу40'E ",4.8,693.2,forest,NH4NO3,50,5,16.67,0.98724,17.07,1.78396,3,3,62.17,1.4722,75.06,6.47768,3,3,76.84210526,13.97754386,89.8245614,10.33122807,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,0.06928,6.05,0.0866,3,3
"Zhu et al., 2020","32бу59'N, 103бу40'E ",4.8,693.2,forest,NH4NO3,100,5,16.67,0.98724,14.34,0.20784,3,3,62.17,1.4722,89.66,3.82772,3,3,76.84210526,13.97754386,103.1578947,4.861754386,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14,0.06928,5.95,0.06928,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbreviations,explanation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAT,mean annual temperature (бц),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAP,mean annual precipitation (mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POC,particulate organic carbon (g kg-1 soil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAOC,mineral-associated organic carbon (g kg-1 soil),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C(POC),mean values of particulate organic carbon concentration for the control treatment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Csd,the standard deviation of particulate organic carbon concentration for the control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T(POC),mean values of particulate organic carbon concentration for the N addition treatment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsd,the standard deviation of particulate organic carbon concentration for the N addition treatment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cn,the sample sizes  for the control treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tn,the sample sizes the N addition treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOC,soil organic carbon (g kg-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,total nitrogen  (g kg-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC,dissolve organic carbon (mg kg-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBC,microbial biomass carbon (mg kg-1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
